id	whg_pid	title	ccodes	lon	lat	added	matches
amh_864p	6599948	Pangkor	MY			[]	
amh_376p	6599949	Pantattaripu	LK	79.95	9.783333333	[]	wd:Q27447708
amh_907p	6599950	Pantjana	ID			[]	
amh_602p	6599951	Paponette	IN			[]	
amh_9824p	6599952	Para 	SR	-55.1368942	5.72993103	[]	
amh_835p	6599953	Paradeys	ZA			[]	
amh_1083p	6599954	Paramaribo	SR	-55.153066	5.828596	[]	wd:Q3001
amh_9300p	6599955	Paramarica, kreek	SR	-54.8	5.8833306	[]	wd:Q59100013
amh_566p	6599956	Parang	ID			[]	
amh_550p	6599957	Parangipettai	IN	79.760177	11.49138	[]	wd:Q2542786
amh_9870p	6599958	Pararac kreek	SR	-55.131787	5.661556697	[]	
amh_1593p	6599959	Paretiture	LK			[]	
amh_633p	6599960	Pariaman	ID	100.117886	-0.627581	[]	
amh_656p	6599961	Parigi	ID	120.187633	-0.839394	[]	
amh_1046p	6599962	Paripueira	BR	-35.546966	-9.466503	[]	wd:Q1795979
amh_808p	6599963	Paru	IN	76.668577	8.810948	[]	
amh_1021p	6599964	Paru rivier, post aan de	BR			[]	
amh_336p	6599965	Passo	ID	128.245676	-3.626541	[]	
amh_381p	6599966	Pasuruan	ID	112.904084	-7.643836	[]	wd:Q11449
amh_526p	6599967	Patchelapallij	LK			[]	
amh_353p	6599968	Patna	IN	85.141679	25.611306	[]	wd:Q80484
amh_657p	6599969	Pattani	TH	101.250422	6.869635	[]	
amh_9071p	6599970	Paulus Kreek	SR	-55.09999	5.75	[]	
amh_711p	6599971	Pegu	MM	96.495266	17.337202	[]	
amh_567p	6599972	Pekalongan	ID	109.676113	-6.879051	[]	wd:Q11026
amh_1049p	6599973	Penedo	BR	-36.558924	-10.285025	[]	
amh_760p	6599974	Peng-Hu	TW	119.547922	23.552922	[]	
amh_9796p	6599975	Peninika 	SR	-54.618522	5.300396	[]	
amh_609p	6599976	Pera	MY			[]	
amh_9230p	6599977	Perica, kreek	SR	-54.6666722	5.7833306	[]	
amh_506p	6599978	Phalta	IN	88.122962	22.295966	[]	wd:Q5432811
amh_968p	6599979	Philadelphia	US	-75.161276	39.955807	[]	wd:Q1345
amh_986p	6599980	Philipsburg	BQ;AW;CW;SX	-63.049865	18.024935	[]	wd:Q30958
amh_893p	6599981	Phnom Penh	KH	104.9166667	11.58333333	[]	
amh_866p	6599982	Phuket	TH	98.36666667	7.880726	[]	
amh_367p	6599983	Pia	ID	128.64363	-3.5344	[]	
amh_975p	6599984	Pietermaai	BQ;AW;CW;SX	-68.926347	12.103466	[]	wd:Q2181653
amh_1089p	6599985	Pikin Saron?	SR			[]	
amh_981p	6599986	Piscaderabaai	BQ;AW;CW;SX	-68.968184	12.119977	[]	wd:Q19901662
amh_527p	6599987	Pitigala	LK	80.223302	6.343877	[]	
amh_732p	6599988	Pittuancarre	LK			[]	
amh_1012p	6599989	Plymouth	TT	-60.777361	11.221637	[]	
amh_721p	6599990	Poedoecoenatte	IN			[]	
amh_1157p	6599991	Poelezeere	IN			[]	
amh_610p	6599992	Poelo Gontong	MY			[]	
amh_723p	6599993	Poetenbare	IN			[]	
amh_1569p	6599994	Point Pedro	LK	80.23333333	9.816666667	[]	wd:Q2307889
amh_9365p	6599995	Pomeroon rivier	GY	-58.748868	7.609656	[]	wd:Q1535385
amh_549p	6599996	Pondicherry	IN	79.827976	11.938234	[]	wd:Q639421
amh_873p	6599997	Pondokgede	ID			[]	
amh_601p	6599998	Ponnani	IN	75.920835	10.776903	[]	wd:Q854841
amh_621p	6599999	Pontianak	ID	109.336267	-0.022745	[]	wd:Q14168
amh_528p	6600000	Pooneryn	LK	80.20666667	9.501388889	[]	wd:Q12986531
amh_909p	6600001	Port Elizabeth	ZA	25.617099	-33.958383	[]	wd:Q125434
amh_447p	6600002	Porto	ID	128.607473	-3.568933	[]	wd:Q19731056
amh_1045p	6600003	Porto Calvo	BR	-35.398556	-9.056594	[]	wd:Q1772636
amh_1065p	6600004	Porto Marie	BQ;AW;CW;SX	-69.085425	12.219506	[]	
amh_928p	6600005	Portudal	SN	14.46666667	-17.0	[]	
amh_976p	6600006	Pos Cabay	BQ;AW;CW;SX	-68.908582	12.114775	[]	
amh_1827p	6600007	Post aan de rivier Maningaar	MG			[]	
amh_894p	6600008	Post aan de rivier Manumbagh	MG			[]	
amh_1578p	6600009	Post aan den berg	GY			[]	
amh_539p	6600010	Preangerlanden	ID			[]	wd:Q2383259
amh_430p	6600011	Pretoria	ZA	28.218799	-25.729937	[]	wd:Q3926
amh_971p	6600012	Prince's Island	US			[]	
amh_693p	6600013	Princes Town	GH	-2.13529586	4.794732683	[]	
amh_932p	6600014	Principe	ST	7.395175	1.605854	[]	
amh_1092p	6600015	Prins Willem Frederick	SR			[]	
amh_1036p	6600016	Province Island 	US	-75.25	40.1	[]	
amh_668p	6600017	Puger	ID	113.476052	-8.372099	[]	
amh_337p	6600018	Pulicat	IN	80.317168	13.417423	[]	wd:Q2117793
amh_823p	6600019	Pulopallai	LK			[]	
amh_504p	6600020	Punneikayal	LK			[]	wd:Q7260453
amh_1015p	6600021	Punta de Araya	VE	-64.256988	10.573041	[]	wd:Q32000279
amh_603p	6600022	Purakkad	IN			[]	
amh_480p	6600023	Purmenent	ID			[]	wd:Q24843545
amh_410p	6600024	Purwakarta	ID	110.40519	-7.868631	[]	
amh_529p	6600025	Puttalam	LK	79.826142	8.033585	[]	wd:Q3088741
amh_824p	6600026	Putur	LK			[]	
amh_702p	6600027	Qeshm	IR	56.273167	26.95941	[]	wd:Q240719
amh_882p	6600028	Quelimanie	MZ	36.880954	-17.874697	[]	
amh_392p	6600029	Quilon	IN	76.592016	8.882019	[]	wd:Q321475
amh_895p	6600030	Raha	ID	122.721012	-4.831424	[]	
amh_708p	6600031	Raiebaagh	IN			[]	
amh_1905p	6600032	Rajbagh				[]	
amh_494p	6600033	Rajmahal	IN	87.829449	25.055434	[]	wd:Q2355927
amh_1093p	6600034	Rama	SR	-55.10264	5.288443	[]	
amh_10571p	6600035	Rarakit	ID	130.880295	-3.596621	[]	
amh_1037p	6600036	Recife Antigo	BR	-34.87231	-8.062771	[]	wd:Q4357085
amh_552p	6600037	Rembang	ID	111.341579	-6.704887	[]	wd:Q24843292
amh_944p	6600038	Rensselaer	US	-73.743632	42.641851	[]	
amh_1111p	6600039	Republiek	SR	-55.206048	5.496302	[]	
amh_1028p	6600040	Restinga island	BR	-34.858038	-6.992541	[]	wd:Q537910
amh_1044p	6600041	Rio Formoso	BR	-37.06666667	-8.583333333	[]	
amh_582p	6600042	Riviersonderend	ZA	19.914197	-34.150259	[]	wd:Q667534
amh_1138p	6600043	Road Town	VG	-64.620173	18.423756	[]	
amh_393p	6600044	Robbeneiland	ZA	18.370671	-33.805896	[]	wd:Q192493
amh_462p	6600045	Roma	ID	127.45	-7.566666667	[]	wd:Q650971
amh_879p	6600046	Rotterdam	NL	4.483333333	51.91666667	[]	
amh_351p	6600047	Rozengain	ID	130.04	-4.59	[]	wd:Q3410727
amh_929p	6600048	Rufisque	SN	-17.2820091	14.71478747	[]	wd:Q1019424
amh_350p	6600049	Run	ID	129.685163	-4.553153	[]	
amh_728p	6600050	Ruwanwella	LK			[]	
amh_900p	6600051	S. Luzia	MG			[]	
amh_847p	6600052	Saccam	TW	120.202127	22.995633	[]	
amh_1160p	6600053	Sadian bon Porte	MG			[]	
amh_551p	6600054	Sadras	IN	80.163324	12.526789	[]	wd:Q4992182
amh_364p	6600055	Said	ID	128.03431	-3.593775	[]	wd:Q12512866
amh_10540p	6600056	Saint Lucia	BQ;AW;CW;SX	-61.038584	13.839251	[]	
amh_9695p	6600057	Saint Martin	BQ;AW;CW;SX	-63.047988	18.083144	[]	
amh_10539p	6600058	Saint-Barthélemy		-62.830258	17.897604	[]	wd:Q25362
amh_338p	6600059	Salatiga	ID	110.504594	-7.342122	[]	wd:Q11021
amh_589p	6600060	Salayar	ID	120.476561	-6.118025	[]	wd:Q2121185
amh_429p	6600061	Saldanha	ZA	17.943063	-33.00672	[]	wd:Q1643816
amh_1372p	6600062	Salouky	ID	127.975185	-3.408156	[]	
amh_1052p	6600063	Salvador	BR	-38.48333333	-12.96666667	[]	
amh_482p	6600064	Sampora	ID			[]	
amh_1058p	6600065	San Juan	PR	-66.116717	18.466217	[]	
amh_658p	6600066	Sanana	ID	125.980039	-2.05589	[]	wd:Q1357603
amh_1047p	6600067	Santa Luzia do Norte	BR	-35.822502	-9.604241	[]	wd:Q1816274
amh_1023p	6600068	Sao Luís	BR	-44.300709	-2.528095	[]	wd:Q28441
amh_368p	6600069	Saparua eiland	ID	128.655024	-3.572702	[]	wd:Q1584814
amh_9202p	6600070	Saramacca Rivier	SR	-55.732348	5.852081	[]	wd:Q2167056
amh_924p	6600071	Save	BJ	2.483333333	8.033333333	[]	
amh_1075p	6600072	Savonette	GY			[]	
amh_339p	6600073	Sawaij	ID	129.181702	-2.95877	[]	wd:Q24340620
amh_1014p	6600074	Scarborough	TT	-60.737296	11.183012	[]	
amh_578p	6600075	Seekoeivlei	ZA	18.51666667	-34.05	[]	
amh_694p	6600076	Sekondi	GH	-1.708982	4.938323	[]	wd:Q243293
amh_401p	6600077	Semarang	ID	110.421467	-6.965619	[]	wd:Q11025
amh_695p	6600078	Senya Beraku	GH	-0.495	5.385	[]	wd:Q28943906
amh_1356p	6600079	Seram Laut	ID	130.918664	-3.887073	[]	
amh_1051p	6600080	Sergipe del Rey	BR	-37.2133401	-11.012455	[]	
amh_745p	6600081	Serikkembelo	ID	127.943587	-3.360917	[]	
amh_1043p	6600082	Serinhaem	BR	-35.116321	-8.590824	[]	wd:Q929655
amh_770p	6600083	Sermata	ID	128.9166667	-8.216666667	[]	wd:Q14544403
amh_1374p	6600084	Sero Lauw	ID	128.087948	-3.131573	[]	
amh_696p	6600085	Shama	GH	-1.625	5.02	[]	wd:Q226124
amh_703p	6600086	Sharkej	IN			[]	
