dataset, user, DhiMu_22, DhiMu_23, DhiMu_24, DhiMu_25, DhiMu_26, DhiMu_28, DhiMu_29, DhiMu_3, DhiMu_31, DhiMu_32, DhiMu_33, DhiMu_35, DhiMu_36, DhiMu_37, DhiMu_39, DhiMu_4, DhiMu_40, DhiMu_42, DhiMu_43, DhiMu_5, DhiMu_52, DhiMu_6, KIMA_11613, KIMA_15975, KIMA_307, KIMA_8531, MapOE_1900, MapOE_1949, MapOE_2026, MapOE_2120, Travelab_2, Usaybia_184, Usaybia_187, Usaybia_188, Usaybia_189, Usaybia_210, Usaybia_219, Usaybia_227, Usaybia_228, Usaybia_234, Usaybia_241, Usaybia_249, Usaybia_282, Usaybia_285, Usaybia_292, Usaybia_293, Usaybia_297, Usaybia_298, Usaybia_299, Usaybia_304, Usaybia_319, Usaybia_322, Usaybia_323, oape_17, oape_194, oape_201, oape_202, oape_209, oape_24, oape_290, oape_291, oape_292, oape_3, oape_318, oape_326, oape_340, oape_342, oape_347, oape_405, oape_419, oape_488, oape_515, oape_529, oape_531, oape_571, oape_574, oape_622, oape_89, phgis_16, phgis_19, phgis_2, phgis_20, phgis_21, phgis_22, phgis_23, phgis_24, phgis_26, phgis_28, phgis_31, phgis_32, phgis_35, phgis_36, phgis_38, phgis_4, phgis_41, phgis_43, phgis_45, phgis_48, phgis_49, phgis_50
lp7_100_02, 14, 7, 3, 2, 3, 6, 6, 3, 2, 7, 0, 8, 0, 2, 8, 8, 4, 9, 3, 4, 8, 3, 5, 6, 7, 7, 8, 3, 2, 0, 0, 5, 3, 0, 0, 7, 5, 0, 0, 8, 0, 1, 0, 10, 8, 10, 4, 0, 0, 3, 3, 3, 4, 0, 4, 1, 7, 7, 10, 10, 9, 10, 11, 10, 13, 10, 11, 9, 9, 10, 8, 11, 8, 1, 9, 7, 11, 0, 0, 0, 3, 3, 3, 3, 2, 0, 3, 3, 0, 0, 3, 6, 3, 5, 0, 3, 3, 0, 3, 1, 3
lp7_100_01, 1, 7, 3, 2, 3, 6, 6, 3, 3, 7, 0, 8, 6, 0, 8, 8, 4, 9, 3, 4, 8, 0, 5, 11, 7, 7, 8, 3, 0, 0, 0, 5, 3, 0, 7, 7, 5, 0, 0, 0, 1, 0, 0, 0, 8, 3, 0, 3, 2, 3, 3, 0, 4, 0, 4, 5, 7, 12, 12, 9, 9, 10, 11, 10, 13, 10, 3, 9, 16, 10, 5, 13, 11, 1, 11, 7, 11, 0, 0, 0, 3, 4, 3, 3, 3, 3, 3, 3, 0, 0, 3, 2, 3, 3, 0, 3, 3, 0, 3, 3, 3
