id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
7952405	Alāna Panhwar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7952405	PK	tgn:7952405	Alāna Panhwar	inhabited place	300008347	Sindh, Pākistān, Asia, World	68.420399	24.710175	Getty TGN Jun 2017	
7952830	Walikhel Dā Bhān	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7952830	PK	tgn:7952830	Walikhel Dā Bhān	inhabited place	300008347	Punjab, Pākistān, Asia, World	72.006016	31.687908	Getty TGN Jun 2017	
7953879	Bhudānewāla	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7953879	PK	tgn:7953879	Bhudānewāla	inhabited place	300008347	Punjab, Pākistān, Asia, World	71.957164	31.485255	Getty TGN Jun 2017	
7954012	Basti Bohil	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954012	PK	tgn:7954012	Basti Bohil	inhabited place	300008347	Punjab, Pākistān, Asia, World	70.469012	30.519735	Getty TGN Jun 2017	
7954067	Byicha	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954067	PK	tgn:7954067	Byicha	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	75.335954	35.586498	Getty TGN Jun 2017	
7954681	Gomba Brakchun	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954681	PK	tgn:7954681	Gomba Brakchun	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	75.7513	35.397471	Getty TGN Jun 2017	
7954688	Shotkore	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954688	PK	tgn:7954688	Shotkore	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	75.507454	35.412152	Getty TGN Jun 2017	
7954835	Muhkam Singhwāla	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954835	PK	tgn:7954835	Muhkam Singhwāla	inhabited place	300008347	Punjab, Pākistān, Asia, World	71.407204	29.643971	Getty TGN Jun 2017	
7954873	Bioursing	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7954873	PK	tgn:7954873	Bioursing	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	75.688507	35.295152	Getty TGN Jun 2017	
7955036	Ūrali	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7955036	PK	tgn:7955036	Ūrali	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	75.9159	35.2487	Getty TGN Jun 2017	
