id	lon	lat	country	campname
10073			Aserbaidshan	Aserbaidshan/ - / Stadt Kirowa-bad/ Adshikent
10074	49.6317411	40.5854765	Aserbaidshan	Aserbaidshan/ - / - / Sumgait
10075	25.013607	58.595272	Estland	Estland/ - / - / -
10076	27.4192555	59.3261331	EstLand	EstLand/ - / - / Ahtme
10077	27.4192555	59.3261331	Estland	Estland/ - / - / Ahtme, Konju
10078	27.3579062	59.3456669	Estland	Estland/ - / -/ Ahtme, Kukruse, Tammiku
10079	25.7213551	59.5812449	Estland	Estland/ - / Harjumaa/ Loksa
10080	27.4136646	59.3573116	Estland	Estland/ - / - /Johvi
10081	27.4136646	59.3573116	Estland	Estland/ -/ -/ Johvi
10082	27.4136646	59.3573116	Estland	Estland/ - / - /Johvi
10083	27.4192555	59.3261331	Estland	Estland/ - / - / Johvi, Ahtme
10084	27.4192555	59.3261331	Estland	Estland/ - / - / Johvi, Ahtme
10085	27.4136646	59.3573116	Estland	Estland/ - / - / Johvi, Sonda
10086	27.3613415	59.3436927	Estland	Estland/-/-/ Johvi, Ereda, Tammiku
10087	26.9669312	59.3559924	Estland	Estland/ - / - / Kivioli
10088	26.9669312	59.3559924	Estland	Estland/ - / - / Kivioli
10089	27.2797506	59.3974738	Estland	Estland/ - / - / Kohtla-Jarve
10090	27.2797506	59.3974738	Estland	Estland/ - / - / Kohtla-Jarve
10091	27.2797506	59.3974738	EstLand	EstLand/ - / - / Kohtla-Jarve
10092	27.2797506	59.3974738	Estland	Estland/ - / - / Kohtla-Jarve, Aseri
10093	27.3456143	59.3972557	Estland	Estland/ - / - / Kohtla-Jarve, Kukruse
10094	27.0089448	59.3503715	Estland	Estland/ - / - / Kuttejou
10095	25.823405	59.2516571	Estland	Estland/ - / - / Lehtse
10096	24.9801867	59.4687696	Estland	Estland/ - / - / Maardu
10097	24.9801867	59.4687696	Estland	Estland/ - / Morskoi-Stadt-bezirk Tallinn/ Maardu
10098	28.1791333	59.3796798	Estland	Estland/ - / - / rva
10099	28.1791333	59.3796798	Estland	Estland/ - /- / rva
10100	28.1791333	59.3796798	Estland	Estland/ - / - / rva
10101	28.1791333	59.3796798	Estland	Estland/ - / - / rva
10102	28.1791333	59.3796798	Estland	Estland/-/- / rva
10103	28.1791333	59.3796798	Estland	Estland/ - / - / rva
10104	25.7074578	59.0904245	Estland	Estland/ - / Paide / Jarva-Jaani
10105	24.4965768	58.3858079	Estland	Estland/ - / - / Parnu
10106	24.4965768	58.3858079	Estland	Estland/-/-/ Parnu
10107	24.3705494	58.5136946	Estland	Estland/ -/ Parnu/ Lavassaare
10108	24.3705494	58.5136946	Estland	Estland/ - / Parnu/ Lavassaare
10109	26.365315	59.3465821	Estland	Estland/ - / - / Rakvere
10110	26.365315	59.3465821	EstLand	EstLand/ - / - / Rakvere
10111	26.365315	59.3465821	Estland	Estland/ - / - / Rakvere
10112	24.8170215	58.7786849	EstLand	EstLand/ - / Raplamaa/ Jarvakandi
10113	24.8170215	58.7786849	Estland	Estland/ - / Raplamaa/ Jarvakandi
10114	26.8386364	59.3518048	Estland	Estland/- /- /Sonda
10115	24.7535746	59.4369608	Estland	Estland/ -/ -/ Tallinn
10116	24.7535746	59.4369608	Estland	Estland/ - / - /Tallinn
10117	24.7535746	59.4369608	Estland	Estland/ - / - / TaLlinn
10118	24.7535746	59.4369608	Estland	Estland/ - / - / Tallinn
10119	24.7535746	59.4369608	Estland	Estland/ - / - /Tallinn
