id	title	title_source	start	end	title_uri	ccodes	variants	types	aat_types	matches	lon	lat	description
oape_326	Milan	oape	1850				ميلان@ar; Milan@en; Milan@fr; Mailand@de; Milano@tr			gn:3173435	9.18951	45.46427	
phgis_21	Mojcza	Historical Atlas of Poland	1550	1600				settlement	300008347		20.685004	50.84083	
KIMA_11613	Neisse	KIMA	2000					Settlement	300008347				
oape_318	New Jersey	oape	1850				New Jersey@en; ولاية نيوجرسي@ar			gn:6955102	-73.91327	40.75766	
oape_202	Palestine	oape	1850				Palestine@en; فلسطين@ar; Territoire palestinien@fr; Palästinensische Autonomiegebiete@de; Filistin Bölgesi@tr			gn:6254930	35.20329	31.92157	
phgis_36	Proniewicze	Historical Atlas of Poland	1550	1600				settlement	300008347		23.193756	52.80579	
oape_419	Punjab	oape	1850				Punjab@en			gn:1167710	72.31667	30.85	
oape_574	Sanliurfa	oape	1850				اورفة@ar; Sanliurfa@en; Édesse@fr; Şanlıurfa@tr			gn:298333	38.79392	37.16708	
MapOE_1900	Şatra	Transportation Map	1892	2020			Şatratü’l-Amâra; شاطره	Place	300008347				
phgis_32	Siepietnica	Historical Atlas of Poland	1550	1600				settlement	300008347		21.296122	49.75537	
oape_488	Singapore	oape	1850				Singapore@en; سنغافورة@ar; Singapour@fr; Singapur@de			gn:1880252	103.85007	1.28967	
MapOE_2026	Sokol	Transportation Map	1892	2020			صوقل; Sokul	Place	300008347				
KIMA_307	Stettin	KIMA	2000					Settlement	300008347		14.55527778	53.42472222	
oape_24	Tarsus	oape	1850				Tarsus@; Tarsus@; Tarsus@en; طرسوس@ar; Tarse@fr; Tarsus@de; Tarsus@tr			gn:299817	34.8784	36.91876	
phgis_50	Wrzeszczyna	Historical Atlas of Poland	1550	1600				settlement	300008347		16.239307	52.87553	
phgis_2	Żukówko	Historical Atlas of Poland	1550	1600				settlement	300008347		17.600222	54.2272	
oape_17	سروج	oape	1850				سروج@ar; Surūj@ar-Latn-x-ijmes			gn:9233	38.47967	36.85119	
oape_622	سوريا	oape	1850				سوريا@						
