id	title	title_source	ccodes	geo_id	start	end	lat	lon
123.0	Kapuas river	Broek	ID		1700	1800		
124.0	Pulu	Broek	ID		1700	1800		
125.0	Maja	Broek	ID	http://sws.geonames.org/1636825	1700	1800	-6.6559	106.3636
126.0	Mendawak	Broek	ID		1700	1800		
127.0	Simpang	Broek	ID	http://sws.geonames.org/7857748	1700	1800	-74.737	107.6688
128.0	Labai	Broek	ID		1700	1800		
129.0	Lawa	Broek	ID		1700	1800		
130.0	Kapuas ketjil	Broek	ID		1700	1800		
131.0	Pontianak	Broek	ID	http://sws.geonames.org/1630789	1700	1800	-0.03194	109.325
132.0	Landak river	Broek	ID		1700	1800		
133.0	Succadana	Broek	ID		1700	1800		
134.0	Landak	Broek	ID		1700	1800		
135.0	Sanggau	Broek	ID	http://sws.geonames.org/1628802	1700	1800	0.13333	110.6
